Course	Room	Teacher	Time	Students
015891	PK278	4086857	12:00 - 14:00 W	3649880 3930054 3910519 3914739 4086223 4086225 4086240 4086260 4086267 4086276 4086303 4086433 4086482 4086277 4086284 3910688 3930767 4086356
012034	PK20	4092864	16:00 - 17:30 TTH	3650256 3666175 3692862 3730202 3768588 3768625 3796732 3903909 3953805 3910185 3690806 3695539 3851735 3911048 3789246 3797164 3905868 3651606 3910738
015876	PK338	4168993	9:00 - 12:30 T	3650256 4086393
004739	PK278	1084458	18:00 - 19:00 W	3650997 3606418 3797651
015877	PK278	4168993	11:30 - 13:00 MW	3650997 3827187 3820958 3695282 3821180 3930052 3910630 4095001 3790825
013636	PK338	0605187	13:00 - 14:00 T	3651293 3579645 3580346 3797624 3797723 3797785 3910507 3910722 4086295 4093324 3797656 3797823 3910661
006026	PK20	0213446	16:30 - 18:00 TH	3651439 3668365 3692164 3781152 3797564 3815949 3816203 3819628 3821069 3902759 3903909 3672031 3819367 3904101 3913606 3914696 3931158 3689375 3889653 3693280 3931001 3929575 3692852 3930469 3758075 3903092 3915038 3639603 3902404 3914371 3792443 3811941 3819393 3819676 3652350 3797692 3797760 3797716
002562	PK20	0564741	14:00 - 17:30 T	3695201 3823092 3914754 3904645 3903520 3710476 3914676 3689500 3915026 3775417 3790857 3929102 3910662 4086464 3881597 3887957 3922150 3931449 3931836 3931946 3973885 3976786 3984532 3994843 4000502 4001958 4002113 4035604 4092004 4092795 4093136 4093282 4093611 4094815 4095080 4095088 4095234 4095309 4095985 4077315 3821589 4086245 3691241
010851	PK20	3470402	15:30 - 17:30 TH	3651465 3788990 3818480 3821077 3796906 3631215 3668378 3691783 3903994 3797801 3797824 3820963 3820257
015851	PK278	0162977	14:00 - 17:30 T	3651816 3667676 3722992 3796723 3820729 3705083 3797680 3910677 4087169 3467384 3694754
015422	PK349	0028980	10:45 - 12:45 W	3652396 3668366 3693253
015512	PK349	3996563	13:00 - 16:00 M	3652396 3652473 3668365 3692514 3692756 3915040 3930162 3651412 3814776 3796906 3929644 3576990 3559172 3668130 3759337 3814296 3817419 3817487 3901722 4086245 3580586
015859	PK278	3839981	13:00 - 15:30 F	3652396 3693219 3820405 3929167 3693280 3597215 3817427
002162	PK20	0168378	19:00 - 21:00 T	3656490 3721962 3768197 3816554 3821069 3821166 3716638 3817962 3821440 3861339 3821197 3820380
